number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
135,3-17-2017,Joint press conference with German Chancellor Angela Merkel,"""I was in Tennessee -- we had a tremendous crowd the other night, and they have -- half of the state is uncovered. The insurance companies have left, and the other half has one insurance company and that will probably be bailing out pretty soon also. They'll have nobody.""","Every part of Tennessee is covered by a health insurer, the state told FactCheck.org; some areas have one insurer selling plans through the Obamacare ""marketplace,"" some have two.",Tenn insurance,Yes,https://www.whitehouse.gov/the-press-office/2017/03/17/joint-press-conference-president-trump-and-german-chancellor-merkel,Health care,Exaggeration,,,Press conferences or scrums,,,,
134,3-17-2017,Joint press conference with German Chancellor Angela Merkel,"""Germany has done very well in its trade deals with the United States, and I give them credit for it.""","Germany does not have trade deals with the United States, as New York Times correspondent Binyamin Applebaum noted on Twitter.",Germany trade,no,https://www.whitehouse.gov/the-press-office/2017/03/17/joint-press-conference-president-trump-and-german-chancellor-merkel,Trade,Germany,,,Press conferences or scrums,,,,
133,3-17-2017,Remarks to Republican Study Committee,"""I was in Tennessee -- I was just telling the folks -- and half of the state has no insurance company, and the other half is going to lose the insurance company. The people don't know what to do.""","Every part of Tennessee is covered by a health insurer, the state told FactCheck.org; some areas have one insurer selling plans through the Obamacare ""marketplace,"" some have two.",Tenn insurance,Yes,https://www.whitehouse.gov/the-press-office/2017/03/17/remarks-president-trump-congressman-steve-scalise-and-congressman-mark,Health care,Exaggeration,,,Informal remarks at events,,,,
132,3-17-2017,"Remarks at ""veterans' affairs listening session""","""They also want people to know that Obamacare is dead; it's a dead health care plan. It's not even a health care plan, frankly ... Obamacare is dead.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://www.whitehouse.gov/the-press-office/2017/03/17/remarks-president-trump-and-veterans-affairs-secretary-shulkin-veterans,Health care,Exaggeration,Barack Obama,,Informal remarks at events,,,,
131,3-17-2017,"Remarks at ""veterans' affairs listening session""","""In Tennessee, where I just left, half of the state has no insurance and -- no carrier. It's gone. And they're going to leave the other half of the state very soon.""","Every part of Tennessee is covered by a health insurer, the state told FactCheck.org; some areas have one insurer selling plans through the Obamacare ""marketplace,"" some have two.",Tenn insurance,Yes,https://www.whitehouse.gov/the-press-office/2017/03/17/remarks-president-trump-and-veterans-affairs-secretary-shulkin-veterans,Health care,Exaggeration,,,Informal remarks at events,,,,
130,3-15-2017,Interview with Fox News's Tucker Carlson,"""On the (F-35 fight plane), I saved $725 million, probably took me a half an hour if you added up all of the times.""","Trump was not responsible for these savings: Lockheed Martin had been moving to cut the price well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,https://www.washingtonpost.com/news/the-fix/wp/2017/03/16/donald-trump-explained-twitter-the-universe-and-everything-to-tucker-carlson/,Military,Exaggeration,,,Interviews,,,,
129,3-15-2017,Interview with Fox News's Tucker Carlson,"Speaking about his source for his allegation that President Barack Obama had wiretapped his phones at Trump Tower: ""Well, I've been reading about things. I read in, I think it was January 20, a New York Times article where they were talking about wiretapping. There was an article, I think they used that exact term."" Added: ""Well, because The New York Times wrote about it.""","This claim contains a kernel of truth, but it is so misleading that it is largely false. The Times article did use the word ""wiretapped,"" but it did not mention Obama, and it did not mention Trump Tower. Rather, it said only that U.S. authorities were examining intercepted communications related to Trump associates' possible ties with Russian officials; it suggested that there had been wiretaps of foreign officials, not Americans.",NYT wiretap,no,https://www.washingtonpost.com/news/the-fix/wp/2017/03/16/donald-trump-explained-twitter-the-universe-and-everything-to-tucker-carlson/,Media,Russian ties,,,Interviews,,,,
128,3-15-2017,Interview with Fox News's Tucker Carlson,"""And don't forget, when I say wiretapping, those words were in quotes. That really covers, because wiretapping is pretty old-fashioned stuff. But that really covers surveillance and many other things. And nobody ever talks about the fact that it was in quotes, but that's a very important thing.""","Trump did use quotation marks in two of his four tweets accusing Barack Obama of improperly surveilling him. However, in the other two, he made the same accusation without quotation marks. ""How low has President Obama gone to tapp my phones during the very sacred election process,"" he wrote in one; ""I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!"" he wrote in the other.",Wiretapping quotes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2017/03/16/donald-trump-explained-twitter-the-universe-and-everything-to-tucker-carlson/,Russian ties,Barack Obama,,,Interviews,,,,
127,3-15-2017,"Campaign rally in Nashville, Tennessee","""I've already authorized the construction of the long-stalled and delayed Keystone and Dakota Access pipelines. """,Trump's executive order merely invited TransCanada Corp. to apply again to get the Keystone pipeline approved. He had not granted final approval.,Keystone approval,Yes,https://www.whitehouse.gov/the-press-office/2017/03/15/remarks-president-make-america-great-again-rally,Pipelines,Energy,,,Speeches,,,,
126,3-15-2017,"Campaign rally in Nashville, Tennessee","""I've already authorized the construction of the long-stalled and delayed Keystone and Dakota Access pipelines. A lot of Jobs. I've also directed that new pipelines must be constructed with American steel. They want to build them here, they use our steel.""","His executive order is significantly more ambiguous: it says the government should develop a plan to make pipelines use American steel ""to the maximum extent possible and to the extent permitted by law."" That's not a ""must"" -- and the Keystone pipeline has already been granted an exemption by the administration, Politico reports, because it is not ""new.""",Keystone steel,Yes,https://www.whitehouse.gov/the-press-office/2017/03/15/remarks-president-make-america-great-again-rally,Pipelines,Energy,Steel,,Speeches,,,,
125,3-15-2017,"Campaign rally in Nashville, Tennessee","""Our budget calls for one of the single largest increases in defence spending history in this country.""","Trump's proposed increase in defence spending, of about 10 per cent, is not one of the biggest ever. ""In just the past 40 years, there have been eight years with larger increases in percentage terms than the one he's now proposing""; The Associated Press reported; ""there have been 27 years since 1940 in which the military spending was as high or higher than the proposed increase,"" the New York Times reported.",Defence spending,Yes,https://www.whitehouse.gov/the-press-office/2017/03/15/remarks-president-make-america-great-again-rally,Military,Exaggeration,,,Speeches,,,,
124,3-15-2017,Speech at the American Center for Mobility in Detroit,"""Today, that number (of automotive Jobs in Michigan) is roughly 165,000 -- and would have been heading down big league if I didn't get elected, I will tell you that right now. That I can tell you. Plenty of things were stopped in their tracks. They were stopped in their tracks. A lot of bad things were going to happen. A lot of places were going to get built that aren't going to get built right now in other locations.""","There is no evidence that Trump's election, or Trump's efforts, have stopped numerous auto plants from being built outside America. Ford cancelled a major plant in Mexico, but its chief executive said the decision would have been made whether or not Trump was president. There are no other public examples of significant cancellations, and ""auto industry experts we spoke to were hard-pressed to name any overseas plants that have been scrapped due to Trump's influence,"" FactCheck.org reported.",Car Jobs,Yes,https://www.whitehouse.gov/the-press-office/2017/03/15/remarks-president-trump-american-center-mobility-detroit-mi,Economy,Exaggeration,Jobs,,Speeches,,,,
123,3-15-2017,Speech at the American Center for Mobility in Detroit,"""Our trade deficit last year reached nearly $800 billion. Who's making these deals?""",The 2016 trade deficit was $502 billion. Trump would have been correct enough if he had specified he was talking specifically about the deficit in trade of manufactured goods --$750 billion in 2016 -- but he did not.,Trade deficit,Yes,https://www.whitehouse.gov/the-press-office/2017/03/15/remarks-president-trump-american-center-mobility-detroit-mi,Economy,Trade,Exaggeration,,Speeches,,,,
122,3-15-2017,Twitter,"""Does anybody really believe that a reporter, who nobody ever heard of, 'went to his mailbox' and found my tax returns? @NBCNews FAKE NEWS!""","There was nothing fake about this report. The Trump administration issued a statement that confirmed the authenticity of the documents, and the reporter, David Cay Johnston, showed other reporters the plain envelope in which they had arrived in the mail; there is no indication whatsoever that he is lying, and another Trump tax return was simply mailed to the Times last year. Finally, though Johnston is not a household name, Trump overstates his obscurity. He won the Pulitzer Prize in 2001, he wrote the bestselling book The Making of Donald Trump, and Trump has known him for decades.",Tax return,no,https://twitter.com/realDonaldTrump/status/841966077005463553,Media,,,,Twitter,,,,
121,3-13-2017,Remarks at first Cabinet meeting,"""We have four empty seats, which is a terrible thing, because the Senate Democrats are continuing to obstruct the confirmation of our nominees for the Department of Labor, the Department of Agriculture, the Director of National Intelligence, and the United States Trade Representative, somebody I want very badly. We're in the midst of getting going, Wilbur, and they won't approve somebody who is highly qualified, and everybody understands that. The main victim of this very partisan obstruction is the American public.""","Democratic obstruction was not the reason for the holdup in confirming Trump's final nominees. Trump's first choice for labour secretary withdrew under criticism, and Republicans scheduled a hearing on his replacement for later in March. Trump was slow in selecting someone for agriculture secretary, and the process has been bogged down in background checks and ethics paperwork. Republicans did not schedule a hearing on the trade representative until March 14, the day after this cabinet meeting.",Dem obstruction,Yes,https://www.whitehouse.gov/the-press-office/2017/03/13/remarks-president-trump-first-cabinet-meeting,Democrats,Trump White House,Congress,,Informal remarks at events,,,,
120,3-13-2017,"Remarks at White House ""listening session"" on health care","""First of all, (Obamacare) covers very few people.""","By no objective measure does Obamacare cover ""very few"" people. Twenty million people have gained coverage under the law. One study estimated that 2.6 million people initially received notices that their coverage was being cancelled; the number that actually did was likely far lower. Even if it wasn't, the coverage gains would far exceed the coverage losses.",Obamacare coverage,no,https://www.whitehouse.gov/the-press-office/2017/03/13/remarks-president-trump-listening-session-healthcare,Health care,Exaggeration,Barack Obama,,Informal remarks at events,,,,
119,3-13-2017,"Remarks at White House ""listening session"" on health care","Speaking about the Republican health reform plan: ""We'll get that out -- without penalties too, by the way. People don't mention all of the facts.""","The Republican plan does get rid of Obamacare's penalties for failing to obtain health insurance. But it introduces a different kind of penalty: a surcharge, of 30 per cent, on people who have a break of two months or more in insurance coverage. So it is a punishment that is applied when the person gets insurance again, not when they are actually uninsured, but it is a punishment nonetheless.",Trumpcare penalty,no,https://www.whitehouse.gov/the-press-office/2017/03/13/remarks-president-trump-listening-session-healthcare,Health care,,,,Informal remarks at events,,,,
118,3-7-2017,Twitter,"""122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!""","According to a report from the U.S. government's Directorate of National Intelligence, 113 of these 122 ""re-engagers"" were released from the Guantanamo Bay prison by the administration of George W. Bush, only nine by the Obama administration.",Gitmo prisoners,no,https://twitter.com/realDonaldTrump/status/839084268991229952,Barack Obama,Terrorism,,,Twitter,,,,
117,3-6-2017,Facebook,"""I'm very pleased to announce the great company ExxonMobil is going to be investing $20 billion in the Gulf Coast and the Gulf Coast region. It'll be 45,000 Jobs, and they're great Jobs; $100,000 average. And this is something that was done to a large extent because of our policies and the policies of this new administration having to do with regulation and so many other things.""","Trump's policies may have had some impact on Exxon's decisions, but he is taking far too much credit for this particular investment: even the official White House statement acknowledges that it ""began in 2013.""",Exxon investment,no,https://www.facebook.com/DonaldTrump/,Economy,Jobs,Energy,,Facebook,,,,
116,3-4-2017,Twitter,"""I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!"" And: ""How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!""","The leaders of the FBI and NSA, as well as Republican leaders in Congress with access to intelligence, said there is no evidence that this occurred. In September, the Justice Department said in a court filing that it had no evidence to support the claim.",Obama wiretapped,Yes,https://twitter.com/realDonaldTrump/status/837996746236182529,Barack Obama,Russian ties,US intelligence,,Twitter,,,,
115,3-3-2017,Twitter,"""It is so pathetic that the Dems have still not approved my full Cabinet.""","The Democrats are not responsible for the holdup here: Trump is. At the time, he had two open cabinet slots: labour secretary and agriculture secretary. One delay was the result of his controversial choice for labour secretary, Andrew Puzder, withdrawing from consideration. The other delay, in confirming Sonny Perdue as secretary of agriculture, was the result of the administration not actually submitting the Perdue nomination to the Senate.",Dem obstruction,Yes,https://twitter.com/realDonaldTrump/status/837638488656920576,Democrats,Trump White House,Congress,,Twitter,,,,
114,3-2-2017,Remarks aboard the USS Gerald R. Ford,"""I am sending the Congress a budget that rebuilds the military, eliminates the defense sequester, and calls for one of the largest increases in national defense spending in American history.""","His proposed increase, of about 10 per cent, is not one of the largest in history, experts say. ""Trump's historical increase is actually quite average,"" Laicie Heeley, a defense budget analyst at the Stimson Center think tank, told PolitiFact.",Defence spending,Yes,https://www.whitehouse.gov/the-press-office/2017/03/02/remarks-president-trump-aboard-uss-gerald-r-ford,Military,Exaggeration,,,Speeches,,,,
113,2-28-2017,Speech to joint session of Congress,"""We've defended the borders of other nations while leaving our own borders wide open for anyone to cross.""","The U.S., of course, does not have an undefended or open border, though people manage to sneak past the defences. The Border Patrol, which has a budget of $14 billion, apprehended 415,816 people in 2016.",Open borders,Yes,https://www.whitehouse.gov/the-press-office/2017/02/28/remarks-president-trump-joint-address-congress,Immigration,Exaggeration,,,Speeches,,,,
112,2-28-2017,Speech to joint session of Congress,"""I am sending the Congress a budget that rebuilds the military, eliminates the defense sequester, and calls for one of the largest increases in national defense spending in American history.""","His proposed increase, of about 10 per cent, is not one of the largest in history, experts say. ""Trump's historical increase is actually quite average,"" Laicie Heeley, a defense budget analyst at the Stimson Center think tank, told PolitiFact.",Defence spending,Yes,https://www.whitehouse.gov/the-press-office/2017/02/28/remarks-president-trump-joint-address-congress,Military,Exaggeration,,,Speeches,,,,
111,2-28-2017,Speech while signing executive order on Waters of the United States,"""But a few years ago, the EPA decided that navigable waters can mean nearly every puddle or every ditch on a farmer's land or anyplace else that they decide. Right? It was a massive power grab.""","This claim about puddles has been a common Republican talking point, but it is not accurate. The Environmental Protection Agency has specifically excluded puddles from this regulation; a fact sheet on its website says, ""THE CLEAN WATER RULE DOES NOT REGULATE PUDDLES."" While critics of the regulation argue that the law can still be read to cover puddles, it is just not true that the EPA decided that nearly every puddle is included.",Puddles,Yes,https://www.whitehouse.gov/the-press-office/2017/02/28/remarks-president-trump-signing-waters-united-states-wotus-executive,Environment,Exaggeration,Farmers,,Speeches,,,,
110,2-28-2017,Speech while signing executive order on Waters of the United States,"Speaking about EPA water-protection rules: ""The EPA's regulators were putting people out of jobs by the hundreds of thousands.""",There is no evidence for this claim.,EPA Jobs,no,https://www.whitehouse.gov/the-press-office/2017/02/28/remarks-president-trump-signing-waters-united-states-wotus-executive,Economy,Environment,,,Speeches,,,,
109,2-28-2017,Speech while signing executive order on Waters of the United States,"""In one case in Wyoming, a rancher was fined $37,000 a day by the EPA for digging a small watering hole for his cattle. His land.""","The rancher did more than dig a small hole, FactCheck.org found: without a permit, he ""constructed a dam on Six Mile Creek, a waterway deemed by the EPA to be a tributary of the Blacks Fork River, which in turn is a tributary of the Green River.""",Rancher,no,https://www.whitehouse.gov/the-press-office/2017/02/28/remarks-president-trump-signing-waters-united-states-wotus-executive,Environment,Exaggeration,Farmers,,Speeches,,,,
108,2-28-2017,Interview with Fox News's Fox and Friends,"""We saved $700-million-plus on a F-35 after I got involved.""","These savings did not come after Trump got involved: Lockheed Martin had been moving to cut the price well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,https://www.youtube.com/watch?v=Z8whssLkXxE,Military,Exaggeration,,,Interviews,,,,
107,2-28-2017,Interview with Fox News's Fox and Friends,"""You look at the kind of numbers we're doing. We were probably GDP of a little more than 1 per cent.""","This is an exaggeration. U.S. gross domestic product grew by 1.6 per cent in 2016; no economic analyst would round this to 1 per cent or call it ""a little more than 1 per cent."" GDP grew by 2.6 per cent the year prior.",Growth in 2016,Yes,https://www.youtube.com/watch?v=Z8whssLkXxE,Economy,Exaggeration,,,Interviews,,,,
106,2-28-2017,Interview with Fox News's Fox and Friends,"""You see what I've done. Ford has announced, General Motors, Fiat has announced. They're all building big plants, they're all coming back into the United States. They were fleeing. They were fleeing our country.""","Trump is taking credit for investments he was not responsible for. GM did not offer any indication that it made its new investment of $1 billion because of Trump, and independent automotive analysts said it was unlikely Trump was a major factor; GM invested $2.9 billion last year, before Trump was elected. The parent company of Chrysler said Trump had no influence on its newly announced $1 billion investment in Michigan and Ohio, telling ThinkProgress, ""This plan was in the works back in 2015."" Further, all of these companies were maintaining a major presence in the U.S. before Trump was elected.",Car Jobs,Yes,https://www.youtube.com/watch?v=Z8whssLkXxE,Economy,Exaggeration,Jobs,,Interviews,,,,
105,2-28-2017,Interview with Fox News's Fox and Friends,"""Look just at the money I've saved. I've saved billions and billions of dollars.""",There is no evidence of this.,General savings,no,https://www.youtube.com/watch?v=Z8whssLkXxE,Exaggeration,,,,Interviews,,,,
104,2-27-2017,Meeting with the National Governors Association,"""Nobody knew that health care could be so complicated.""","We let a lot of Trump's hyperbole slide, but this one is egregious. Numerous experts warned that the repeal of Obamacare was far more complicated than Trump was suggesting when he said he would do it immediately upon becoming president. And a Politico health journalist, Dan Diamond, tweeted multiple examples of Barack Obama calling healthcare complicated. Finally, Trump himself said repeal and replacement was ""very complicated stuff"" a week and a half before he took office.",So complicated,no,https://www.whitehouse.gov/the-press-office/2017/02/27/remarks-president-trump-meeting-national-governors-association,Health care,,,,Informal remarks at events,,,,
103,2-27-2017,Meeting with the National Governors Association,"""I got involved in an airplane contract, I got involved in some other contracts, and we cut the hell out of the prices. I mean, we saved a lot of money, tremendous amount of money, beyond anything that the generals that were involved...On one plane, on a small order of one plane, I saved $725 million. And I would say I devoted about, if I added it up, all those calls, probably about an hour.""","Trump was taking personal credit for savings he did not personally secure. These savings did not come after Trump ""got involved"": Lockheed Martin had been moving to cut the price of the F-35 well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,https://www.whitehouse.gov/the-press-office/2017/02/27/remarks-president-trump-meeting-national-governors-association,Military,Exaggeration,,,Informal remarks at events,,,,
102,2-27-2017,Interview with Breitbart News,"""In fact, (the New York Times) had to write a letter of essentially apology to their subscribers because they got the election so wrong.""","The Times never apologized for its Trump coverage; Trump was referring to a post-election letter, a kind of sales pitch, in which Times leaders thanked readers and said they planned to ""rededicate ourselves to the fundamental mission of Times journalism.""",NYT apology,Yes,http://www.breitbart.com/big-government/2017/02/27/full-transcript-president-donald-trumps-exclusive-interview-breitbart-news-network-oval-office,Media,Election,,,Interviews,,,,
101,2-27-2017,Interview with Breitbart News,"""For instance, when people read the story on the women -- first of all, the reporter who wrote the story has a website full of hatred of Donald Trump. So, (New York Times journalist Michael Barbaro) shouldn't be allowed to be a reporter because he's not objective.""",Barbaro does not have a website.,Barbaro,no,http://www.breitbart.com/big-government/2017/02/27/full-transcript-president-donald-trumps-exclusive-interview-breitbart-news-network-oval-office,Media,,,,Interviews,,,,
100,2-27-2017,Interview with Breitbart News,"""They did a front-page article on women talking about me, and the women went absolutely wild because they said that was not what they said. It was a big front-page article, and the Times wouldn't even apologize and yet they were wrong. You probably saw the women. They went on television shows and everything.""","One woman, not multiple women, went on television to complain about the Times article in which she was quoted. (Rowanne Brewer Lane alleged that the Times put a ""negative"" spin on her quotes.) The Times interviewed ""dozens"" of women; the others did not offer criticism of the piece.",Brewer Lane,no,http://www.breitbart.com/big-government/2017/02/27/full-transcript-president-donald-trumps-exclusive-interview-breitbart-news-network-oval-office,Sex assault allegations,Media,,,Interviews,,,,
99,2-24-2017,Speech to the Conservative Political Action Conference,"""Maybe they are just bad at polling or maybe they're not legit, but it's one or the other, look at how inaccurate -- look at CBS, look at ABC, also, look at NBC, take a look at some of these polls.""","These organizations' election polls were quite accurate. Hillary Clinton won the national popular vote by two points. CBS's final poll had her winning by four. ABC's had her winning by three. NBC's was the worst, with Clinton up by five, but the result was still within the poll's margin of error.",Wrong polls,Yes,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Media,Election,Polls,,Speeches,,,,
98,2-24-2017,Speech to the Conservative Political Action Conference,"""Ford and Fiat Chrysler, General Motors, Sprint, Intel, and so many others are now, because of the election result, making major investments in the United States, expanding production and hiring more workers.""","GM did not offer any indication that it made its new investment of $1 billion because of Trump, and independent automotive analysts said it was unlikely Trump was a major factor; GM invested $2.9 billion last year, before Trump was elected. The parent company of Chrysler said Trump had no influence on its newly announced $1 billion investment in Michigan and Ohio, telling ThinkProgress, ""This plan was in the works back in 2015.""",Car Jobs,Yes,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Economy,Exaggeration,Jobs,,Speeches,,,,
97,2-24-2017,Speech to the Conservative Political Action Conference,"""By the way, you folks are in here -- this place is packed, there are lines that go back six blocks and I tell you that because you won't read about it, OK. But there are lines that go back six blocks.""",There was no line at all.,CPAC line,no,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Exaggeration,Crowds,,,Speeches,,,,
96,2-24-2017,Speech to the Conservative Political Action Conference,"""Obamacare covers very few people -- and remember, deduct from the number all of the people that had great health care that they loved that was taken away from them.""","By no objective measure does Obamacare cover ""very few"" people. Twenty million people have gained coverage under the law. One study estimated that 2.6 million people initially received notices that their coverage was being cancelled; the number that actually did was likely far lower. Even if it wasn't, the coverage gains would far exceed the coverage losses.",Obamacare size,no,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Health care,Exaggeration,Barack Obama,,Speeches,,,,
95,2-24-2017,Speech to the Conservative Political Action Conference,"""We have authorized the construction, one day, of the Keystone and Dakota Access Pipelines.""",Trump had not actually approved construction of Keystone XL. His executive order merely invited TransCanada to reapply for approval.,Keystone approval,Yes,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Pipelines,Energy,,,Speeches,,,,
94,2-24-2017,Speech to the Conservative Political Action Conference,"""Our Border Patrol, I'll tell you what they do, they came and endorsed me, ICE came and endorsed me. They never endorsed a presidential candidate before, they might not even be allowed to.","Indeed, these two government bodies are not allowed to endorse candidates -- and they didn't. Trump was endorsed by unions of Border Patrol and Immigration and Customs Enforcement (ICE) employees, not the government bodies themselves.",ICE endorsed,Yes,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Election,Immigration,,,Speeches,,,,
93,2-24-2017,Speech to the Conservative Political Action Conference,"""In fact, in covering my comments, the dishonest media did not explain that I called the fake news the enemy of the people. The fake news. They dropped off the word 'fake.' And all of a sudden the story became the media is the enemy. They take the word 'fake' out.""","This is a strange one. The media accurately reported that Trump tweeted: ""The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!"" Reports did not take the word ""fake"" out. Trump uses ""fake news"" to refer to media coverage broadly, and broadly mentioned five specific outlets, so there was nothing dishonest about reporting that he had attacked the media here.",Media didnt say fake,no,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Media,,,,Speeches,,,,
92,2-24-2017,Speech to the Conservative Political Action Conference,"""Because they have no sources, they just make 'em up when there are none. I saw one story recently where they said, 'Nine people have confirmed.' There're no nine people.""","The Washington Post did not make up its sources: its story, about national security adviser Michael Flynn allegedly discussing U.S. sanctions with Russia's ambassador before the election, resulted in Trump firing Flynn.",Sources made up,Yes,https://www.yahoo.com/news/read-transcript-president-trump-cpac-164423113.html,Media,Russian ties,,,Speeches,,,,
91,2-23-2017,White House meeting with manufacturing CEOs,"""Gary, as you know -- you all know Gary from Goldman, Gary Cohn. And we're really happy -- just paid $200 million in tax in order to take this job, by the way. Which is very much unlike Gary. But he's great.""","Cohn, Trump's National Economic Council director, did not pay $200 million in tax to take the job. In fact, he did perhaps the exact opposite -- sell stock worth more than $200 million. According to Bloomberg, Cohn, formerly president of Goldman Sachs, was preparing to divest ""roughly $220 million of Goldman equity he already held or was awaiting, as well as stakes in company-run investment funds""; he also got an additional $65 million payout. Also relevant: he might not have to pay any tax on the sales for a long while. White House appointees who are forced to sell stock to avoid conflicts of interests are allowed to defer capital gains taxes if they plow their proceeds into several kinds of approved investments.",Cohn taxes,Yes,https://www.whitehouse.gov/the-press-office/2017/02/23/remarks-president-trump-meeting-manufacturing-ceos,Trump White House,,,,Informal remarks at events,,,,
90,2-23-2017,White House meeting with manufacturing CEOs,"""We don't have any good deals. In fact, I'm trying to find a country where we actually have a surplus of trade as opposed to -- everything is a deficit.""","The U.S. has surpluses with more than half of all countries in merchandise trade, figures from the U.S. International Trade Commission show -- and merchandise trade is a measure that doesn't count the services trade at which the U.S. excels. Major countries with which the U.S. has a surplus in merchandise trade include Australia, Brazil, the Netherlands, Argentina, and the United Kingdom.",Trade surpluses,Yes,https://www.whitehouse.gov/the-press-office/2017/02/23/remarks-president-trump-meeting-manufacturing-ceos,Economy,Trade,Exaggeration,,Informal remarks at events,,,,
89,2-23-2017,White House meeting with manufacturing CEOs,"""With Mexico, we have $70 billion in deficits, trade deficits, and it's unsustainable. We're not going to let it happen. Can't let it happen. We're going to have a good relationship with Mexico, I hope. And if we don't, we don't. But we can't let that happen -- $70 billion in trade deficits.""","The US trade deficit with Mexico was $63 billion in 2016, U.S. government figures show, counting only trade in goods. It is always billions smaller when trade in services is included.",Mexico deficit,Yes,https://www.whitehouse.gov/the-press-office/2017/02/23/remarks-president-trump-meeting-manufacturing-ceos,Mexico,Trade,Exaggeration,NAFTA,Informal remarks at events,,,,
88,2-23-2017,White House meeting with manufacturing CEOs,"""With China, we have close to a $500 billion trade deficit.""","The U.S. trade deficit with China was $347 billion in 2016, U.S. government figures show, counting only trade in goods. It is always billions smaller when trade in services is included.",China trade deficit,Yes,https://www.whitehouse.gov/the-press-office/2017/02/23/remarks-president-trump-meeting-manufacturing-ceos,China,Trade,Exaggeration,,Informal remarks at events,,,,
87,2-18-2017,"Campaign rally in Melbourne, Florida","""By the way, do you think that one media group back there, one network will show this crowd. Not one. Not one. They won't show the crowd.""","CNN, Fox News and NBC all televised wide shots showing the size of the crowd at the rally.",Media crowd,Yes,https://www.youtube.com/watch?v=M353f0yzOf8,Media,Crowds,,,Speeches,,,,
86,2-18-2017,"Campaign rally in Melbourne, Florida","""By the way, we did very well with women. You know, my wife said when some of these phoney polls were put out, the CNN poll was so far off, the phoney polls. When some of these, she said, what's wrong with you and women.""","The final CNN poll of the campaign came close to nailing Trump's showing with women. The poll had Clinton up 52 per cent to 39 per cent, a 13-point lead; exit polls from the actual voting showed that Clinton had won with women 54 per cent to 41 per cent -- 13 points.",Wrong polls,Yes,https://www.youtube.com/watch?v=M353f0yzOf8,Media,Election,Polls,,Speeches,,,,
85,2-18-2017,"Campaign rally in Melbourne, Florida","""We've got to keep our country safe. You look at what's happening in Germany, you look at what's happening last night in Sweden.""",No security incident of note happened the previous night in Sweden.,Sweden incident,no,https://www.youtube.com/watch?v=M353f0yzOf8,Immigration,Terrorism,Sweden,,Speeches,,,,
84,2-18-2017,"Campaign rally in Melbourne, Florida","""We've allowed thousands and thousands of people into our country and there was no way to vet those people. There was no documentation. There was no nothing."" Added: ""Tens of thousands of people into our country, and we don't know anything about those people.""","Refugees to the U.S. are rigorously vetted. The process includes multiple kinds of background and security checks and at least two interviews with U.S. representatives. Regardless of their paperwork situation -- some have detailed documents, some do not -- the U.S. knows far more than nothing about the refugees it approves.",No vetting,Yes,https://www.youtube.com/watch?v=M353f0yzOf8,Immigration,,,,Speeches,,,,
